population,gender,coffee,computer,shower,beer,tacos,age
hippie,female,7,1,2,6,9,25
hippie,female,9,3,4,6,12,25
hippie,female,4,3,2,6,10,25
hippie,female,4,4,5,6,11,25
hippie,female,11,4,8,6,10,25
metalhead,female,16,16,4,6,13,25
metalhead,female,13,17,13,6,16,25
metalhead,female,9,18,0,6,18,25
metalhead,male,15,20,8,6,23,25
nerd,male,11,36,11,6,11,25
nerd,male,4,39,5,6,24,25
nerd,male,5,40,8,6,18,25
nerd,male,5,41,8,6,17,23
hipster,male,30,42,7,6,15,23
nerd,male,0,42,9,6,11,23
nerd,male,0,48,11,6,10,23
nerd,male,7,49,11,6,3,23
nerd,male,10,50,10,6,12,23
nerd,male,11,51,11,6,10,23
nerd,male,11,53,10,6,19,23
nerd,male,4,53,8,6,12,23
nerd,male,19,57,9,6,18,23
nerd,male,6,57,10,6,13,23
nerd,male,2,58,12,6,11,23
nerd,male,6,59,8,6,14,23
nerd,male,11,68,7,6,13,23
nerd,female,8,72,11,6,9,23
nerd,female,5,80,11,6,9,22
hippie,female,2,5,10,7,11,22
hippie,female,2,6,4,7,13,22
hippie,female,3,6,3,7,13,22
hippie,male,4,8,5,7,11,22
hippie,female,7,10,4,7,12,22
metalhead,male,23,20,2,7,26,22
nerd,male,1,32,10,7,23,22
nerd,male,9,32,10,7,16,22
nerd,male,10,38,8,7,18,22
hipster,female,36,38,9,7,12,22
nerd,male,8,39,7,7,13,22
nerd,male,4,40,6,7,18,20
nerd,male,7,41,10,7,26,21
nerd,male,7,43,7,7,6,22
nerd,male,11,46,4,7,11,23
nerd,male,3,49,10,7,16,24
nerd,female,2,51,7,7,1,25
nerd,male,9,55,10,7,13,26
nerd,male,5,58,10,7,17,27
nerd,male,2,61,8,7,10,20
nerd,male,9,62,9,7,16,21
nerd,male,3,66,6,7,11,22
nerd,male,13,67,8,7,9,23
nerd,male,1,68,8,7,16,24
hippie,female,1,0,7,8,8,25
hippie,female,12,8,12,8,10,26
hippie,male,14,9,2,8,16,27
hippie,male,7,14,0,8,16,20
nerd,male,8,39,8,8,4,21
nerd,male,1,40,9,8,24,22
hipster,female,23,40,10,8,15,23
nerd,male,5,48,11,8,13,24
nerd,male,0,48,11,8,12,25
nerd,male,19,59,14,8,11,26
nerd,male,3,61,11,8,8,27
hippie,female,1,3,4,9,11,20
hippie,female,7,4,9,9,9,21
hippie,female,4,5,5,9,11,22
hippie,female,4,6,12,9,13,23
metalhead,female,13,8,14,9,13,24
hipster,female,33,34,6,9,19,25
hipster,female,25,39,6,9,16,26
hipster,female,25,40,7,9,17,27
nerd,male,5,49,11,9,15,20
nerd,male,13,67,7,9,2,21
hippie,female,9,2,4,10,11,22
hippie,female,1,3,4,10,9,23
hippie,female,17,5,10,10,10,24
hippie,female,9,6,11,10,11,25
hippie,male,1,7,5,10,16,26
hippie,male,3,8,3,10,16,27
hippie,female,5,8,1,10,12,20
hippie,male,5,12,0,10,13,21
hippie,male,13,13,1,10,10,22
hippie,male,12,14,3,10,16,23
hippie,male,5,14,2,10,12,24
metalhead,female,13,17,2,10,14,25
hipster,female,28,38,10,10,12,26
hipster,female,27,39,10,10,16,27
hipster,female,32,44,5,10,13,20
nerd,male,3,44,11,10,8,21
hippie,female,3,4,1,11,10,22
hippie,female,2,5,4,11,11,23
hippie,female,7,7,6,11,9,24
hippie,male,5,9,3,11,16,25
hippie,male,10,9,0,11,16,26
hippie,male,8,10,2,11,15,27
hippie,male,6,10,4,11,13,20
hippie,male,9,12,1,11,15,21
hippie,male,10,13,4,11,14,22
metalhead,female,15,15,1,11,15,27
hippie,male,6,16,4,11,14,24
metalhead,male,24,19,5,11,25,25
metalhead,female,15,20,7,11,14,26
hipster,female,19,40,12,11,17,27
nerd,male,7,49,8,11,2,20
hippie,female,7,3,8,12,8,21
hippie,female,3,4,7,12,8,22
hippie,male,8,6,3,12,12,23
hippie,male,13,7,7,12,17,24
hippie,male,8,7,6,12,13,25
hippie,female,4,7,6,12,11,26
hippie,male,12,12,1,12,13,27
hippie,male,9,12,4,12,12,20
hippie,male,2,14,6,12,14,21
metalhead,female,17,15,6,12,15,27
hippie,male,5,15,0,12,13,23
metalhead,female,14,18,2,12,12,26
metalhead,male,21,20,6,12,22,26
hipster,female,22,47,7,12,17,26
hipster,male,28,49,8,12,10,27
hippie,female,3,0,4,13,13,20
hippie,female,4,4,4,13,15,21
hippie,male,9,5,10,13,12,22
hippie,male,6,7,5,13,20,23
hippie,male,10,8,1,13,15,24
hippie,male,17,8,2,13,13,25
hippie,male,2,11,5,13,15,26
hippie,male,7,11,6,13,12,27
hippie,male,8,12,0,13,15,20
metalhead,female,7,19,1,13,17,26
metalhead,female,28,20,13,13,13,27
hipster,female,19,37,8,13,17,23
hipster,female,27,43,6,13,14,24
hipster,male,21,45,10,13,16,25
hippie,female,2,0,5,14,13,26
hippie,female,0,1,17,14,14,27
hippie,female,3,1,2,14,10,20
hippie,female,1,2,0,14,12,21
hippie,female,1,4,7,14,11,22
hippie,male,13,5,3,14,12,23
hippie,female,5,6,2,14,10,24
hippie,male,6,8,2,14,13,25
hippie,male,3,9,3,14,15,26
hippie,male,4,10,1,14,13,27
hippie,male,12,12,1,14,16,20
hippie,male,3,12,0,14,14,21
hippie,male,7,13,3,14,15,22
hippie,male,12,13,6,14,15,23
hippie,male,4,14,1,14,14,24
hippie,male,6,15,4,14,16,25
hippie,male,3,16,1,14,18,26
hipster,male,28,40,5,14,14,27
hipster,male,27,42,10,14,4,27
hipster,female,19,45,4,14,17,27
hippie,female,1,3,11,15,9,27
hippie,male,13,4,6,15,15,23
hippie,female,7,4,12,15,8,24
hippie,female,5,5,4,15,9,25
hippie,male,6,6,3,15,14,26
hippie,male,9,7,5,15,15,27
hippie,male,6,9,3,15,14,20
hippie,male,11,10,4,15,15,21
hippie,male,8,11,6,15,14,22
hippie,male,11,11,7,15,13,23
hippie,male,14,11,3,15,12,24
hippie,male,2,14,3,15,17,25
hippie,male,12,15,2,15,12,26
metalhead,female,20,16,11,15,15,27
hippie,male,10,17,1,15,16,27
hippie,male,6,21,1,15,16,27
metalhead,male,16,25,7,15,22,26
hipster,female,24,32,5,15,14,25
hipster,female,31,37,3,15,14,24
hippie,female,4,3,9,16,8,25
hippie,male,7,7,2,16,14,26
hippie,female,2,7,1,16,11,27
hippie,male,6,7,7,16,10,20
hippie,male,13,8,2,16,16,21
hippie,male,13,9,7,16,15,22
hippie,male,3,10,5,16,14,23
metalhead,male,17,12,3,16,21,24
hippie,male,7,12,2,16,10,25
hippie,male,9,13,2,16,16,26
hippie,male,4,13,1,16,15,27
metalhead,female,11,14,14,16,13,26
metalhead,male,20,17,2,16,24,26
metalhead,male,17,18,2,16,28,25
metalhead,male,12,18,0,16,18,24
hipster,female,24,37,13,16,11,24
hipster,male,26,41,3,16,19,25
hipster,female,26,41,9,16,16,26
hipster,female,27,42,10,16,16,27
hippie,female,4,1,1,17,9,20
hippie,female,8,1,9,17,8,21
hippie,female,9,3,6,17,10,22
hippie,male,7,7,2,17,17,23
hippie,female,6,7,5,17,11,24
hippie,male,14,9,2,17,12,25
hippie,female,6,9,7,17,9,26
hippie,male,6,10,2,17,13,27
hippie,male,4,10,3,17,10,20
hippie,male,9,11,4,17,18,21
hippie,male,12,11,1,17,15,22
hippie,male,16,11,4,17,14,23
hippie,female,3,11,2,17,11,24
hippie,male,4,13,6,17,13,25
hippie,male,6,14,3,17,15,26
hippie,male,10,15,2,17,10,27
hippie,male,9,16,7,17,16,20
hippie,male,7,16,4,17,12,21
metalhead,female,14,17,6,17,14,22
hippie,male,10,17,2,17,12,23
hippie,male,14,23,1,17,16,24
hipster,female,23,37,11,17,15,25
hipster,male,27,39,11,17,14,26
hipster,female,19,40,11,17,20,27
hipster,male,23,43,10,17,15,20
hippie,male,7,5,1,18,15,21
hippie,male,15,5,7,18,13,22
hippie,male,19,9,2,18,13,23
hippie,male,10,10,4,18,12,24
hippie,male,7,11,1,18,14,25
hippie,male,1,12,1,18,13,26
hippie,male,10,13,2,18,14,27
hippie,male,15,14,2,18,16,17
hippie,male,14,18,0,18,13,18
hipster,male,30,30,4,18,14,19
hipster,male,27,39,4,18,15,20
hipster,male,26,40,11,18,12,20
hipster,female,22,43,5,18,19,21
hipster,female,22,43,2,18,15,22
hipster,female,25,45,10,18,12,23
hippie,female,3,1,4,19,6,24
hippie,female,7,4,3,19,10,25
hippie,male,10,5,1,19,16,26
hippie,female,2,6,8,19,13,27
metalhead,female,20,7,9,19,14,20
hippie,male,11,8,4,19,15,21
hippie,female,3,10,1,19,11,22
hippie,male,10,11,5,19,10,23
hippie,male,15,12,4,19,15,24
hippie,male,4,12,1,19,13,25
hippie,male,10,14,8,19,17,26
hippie,male,5,16,2,19,12,27
metalhead,female,19,17,0,19,16,20
hippie,male,13,20,4,19,14,21
hipster,male,23,37,7,19,19,22
hipster,female,26,44,9,19,14,23
hipster,male,28,44,9,19,8,24
metalhead,female,14,5,8,20,15,25
metalhead,female,11,11,4,20,14,26
metalhead,female,9,14,18,20,11,27
hippie,male,13,17,3,20,10,19
hipster,female,26,35,7,20,15,20
hipster,male,26,44,4,20,16,21
hipster,male,29,49,6,20,17,22
metalhead,male,11,12,3,21,23,23
metalhead,female,11,14,13,21,14,19
hippie,male,4,15,2,21,15,20
metalhead,female,5,20,4,21,16,21
metalhead,male,20,21,1,21,27,22
metalhead,male,10,22,7,21,22,23
hipster,male,19,32,5,21,15,19
hipster,female,30,40,7,21,14,20
hipster,female,29,41,8,21,14,21
hippie,female,0,1,13,22,13,22
hippie,male,9,4,5,22,17,23
metalhead,female,14,12,7,22,15,19
hipster,female,24,37,4,22,13,20
hipster,female,23,41,6,22,16,21
hipster,male,30,45,9,22,12,22
hippie,female,6,2,1,23,9,23
metalhead,female,16,13,2,23,14,19
metalhead,female,19,14,2,23,16,20
hippie,male,6,16,3,23,17,21
metalhead,male,16,17,7,23,23,22
hippie,male,10,17,4,23,15,23
metalhead,female,19,19,10,23,13,19
hipster,male,22,35,9,23,18,20
hipster,male,33,35,9,23,11,21
hipster,female,29,36,10,23,16,22
hipster,female,25,40,6,23,16,23
hipster,female,25,40,14,23,12,19
hipster,male,31,42,8,23,20,20
hipster,male,21,43,9,23,18,21
hipster,male,26,45,7,23,11,22
hippie,female,8,1,3,24,11,23
hippie,female,9,5,1,24,7,19
hippie,female,3,6,4,24,13,20
metalhead,female,10,12,9,24,13,21
metalhead,female,13,13,1,24,18,22
hipster,female,26,41,8,24,13,23
hippie,female,4,0,8,25,11,19
hippie,female,6,1,1,25,11,20
hippie,female,14,2,1,25,12,21
hippie,female,5,4,0,25,9,22
metalhead,female,17,5,1,25,18,23
metalhead,female,13,10,4,25,19,19
metalhead,female,10,13,4,25,15,20
metalhead,female,10,13,5,25,14,21
metalhead,female,13,14,4,25,12,22
metalhead,male,24,15,7,25,16,23
metalhead,female,13,17,10,25,15,19
metalhead,female,17,19,5,25,15,20
metalhead,male,16,27,6,25,21,21
hipster,male,23,41,3,25,15,22
hipster,female,22,46,9,25,18,23
hippie,female,11,3,6,26,10,19
hippie,female,3,4,5,26,9,20
hippie,female,3,7,2,26,8,21
metalhead,female,16,12,11,26,12,22
metalhead,male,10,16,1,26,25,23
metalhead,male,26,27,1,26,31,19
hipster,male,21,35,10,26,16,20
hipster,male,29,37,5,26,21,21
hipster,female,29,37,9,26,17,22
hipster,female,25,39,9,26,18,23
hipster,female,24,39,8,26,10,19
hipster,male,31,40,9,26,18,20
hipster,male,28,41,9,26,16,21
hipster,female,25,43,5,26,15,22
hippie,female,2,3,6,27,11,23
hippie,female,3,7,3,27,13,19
metalhead,female,16,11,5,27,17,20
metalhead,female,15,12,2,27,13,21
metalhead,female,12,15,2,27,16,22
metalhead,female,12,15,5,27,16,23
metalhead,female,12,15,9,27,14,19
metalhead,male,19,17,10,27,18,20
hipster,male,26,36,6,27,15,21
hipster,female,27,38,8,27,14,22
hipster,female,29,39,12,27,17,23
hipster,male,34,40,8,27,11,19
hipster,male,31,46,10,27,13,20
hippie,female,6,3,2,28,11,21
hippie,female,2,5,6,28,11,22
hippie,female,6,10,2,28,11,23
hipster,male,24,36,5,28,11,19
hipster,male,31,40,5,28,19,20
hipster,male,32,40,5,28,17,21
hipster,male,21,40,10,28,11,22
hipster,female,26,41,12,28,19,23
hipster,male,22,41,3,28,10,19
hipster,male,31,43,4,28,23,20
hipster,male,27,44,10,28,20,21
hipster,female,17,46,12,28,14,22
hippie,female,2,3,5,29,10,23
metalhead,male,21,15,1,29,25,19
hipster,male,24,33,5,29,8,20
hipster,male,30,36,9,29,15,21
hipster,female,16,37,7,29,13,22
hipster,male,26,37,4,29,11,23
hipster,male,27,38,8,29,17,19
hipster,female,24,40,7,29,16,20
hipster,male,23,40,4,29,11,21
hipster,male,31,41,0,29,17,22
hipster,male,28,43,4,29,16,23
hipster,female,24,44,16,29,17,19
hipster,male,24,45,8,29,13,20
metalhead,female,20,8,7,30,17,21
metalhead,male,25,17,3,30,28,22
metalhead,male,21,17,1,30,26,23
metalhead,male,18,18,6,30,23,19
metalhead,male,24,20,6,30,25,20
hipster,male,29,33,4,30,18,21
hipster,male,26,34,8,30,14,22
hipster,male,30,35,5,30,14,23
hipster,male,21,40,6,30,15,19
hipster,male,30,41,13,30,16,20
hipster,male,25,42,8,30,13,21
hipster,male,32,43,10,30,8,22
hipster,male,29,48,5,30,21,23
metalhead,female,11,16,12,31,17,19
metalhead,male,16,18,2,31,19,20
metalhead,male,10,19,3,31,28,21
hipster,female,25,32,9,31,12,22
hipster,female,32,33,4,31,18,23
hipster,male,28,34,6,31,16,19
hipster,female,21,36,7,31,15,20
hipster,male,27,40,8,31,16,21
hipster,male,30,41,9,31,18,22
hipster,male,31,41,7,31,18,23
hipster,female,29,41,5,31,17,19
hipster,male,24,41,8,31,15,20
hipster,male,24,44,8,31,12,21
hipster,male,26,45,6,31,17,22
metalhead,male,18,15,5,32,23,23
metalhead,male,12,20,10,32,39,19
hipster,female,25,33,6,32,16,20
hipster,female,25,38,2,32,15,21
hipster,female,28,41,10,32,14,22
hipster,male,19,42,5,32,12,23
hipster,female,25,47,6,32,16,19
metalhead,female,13,9,7,33,13,20
metalhead,female,15,10,6,33,13,21
metalhead,female,14,11,0,33,16,22
metalhead,male,21,13,8,33,32,23
metalhead,female,11,17,3,33,13,19
metalhead,female,25,18,1,33,15,20
metalhead,male,19,21,1,33,24,21
hipster,male,32,33,11,33,17,22
hipster,female,29,34,8,33,11,23
hipster,male,26,35,8,33,11,19
hipster,male,28,38,6,33,16,20
hipster,female,30,39,13,33,17,21
hipster,female,32,44,4,33,16,22
hipster,male,21,44,2,33,15,23
metalhead,female,10,15,6,34,15,19
metalhead,male,20,16,4,34,19,20
metalhead,male,24,17,1,34,25,21
metalhead,female,16,17,8,34,16,22
metalhead,male,23,19,1,34,18,23
metalhead,male,17,24,4,34,28,19
hipster,male,32,35,12,34,14,20
hipster,female,27,38,10,34,16,21
hipster,female,28,38,4,34,13,22
hipster,female,25,39,10,34,15,23
hipster,male,27,41,11,34,15,19
hipster,female,25,42,8,34,14,20
hipster,male,31,44,5,34,15,21
hipster,male,23,44,9,34,10,22
hipster,male,29,45,9,34,10,23
hippie,female,4,3,7,35,10,19
hippie,female,6,6,18,35,9,20
metalhead,female,10,13,1,35,13,21
metalhead,female,8,14,4,35,15,22
hipster,female,27,35,9,35,15,23
hipster,female,30,37,13,35,15,19
hipster,female,31,38,15,35,15,20
hipster,male,32,39,3,35,16,21
hipster,female,29,40,13,35,16,22
hipster,female,23,41,8,35,12,23
hipster,male,32,43,7,35,16,19
hippie,female,4,3,11,36,10,20
hippie,female,5,6,4,36,11,21
metalhead,female,14,8,5,36,15,22
metalhead,male,13,11,1,36,22,23
metalhead,female,15,11,4,36,13,19
metalhead,male,19,14,4,36,42,20
metalhead,female,10,18,4,36,12,21
hipster,female,30,37,9,36,15,22
hipster,female,26,39,8,36,15,23
hipster,male,24,44,11,36,21,19
metalhead,male,20,11,5,37,21,20
metalhead,female,6,12,5,37,16,21
metalhead,male,15,15,4,37,30,22
metalhead,male,21,16,7,37,21,23
metalhead,female,12,20,3,37,14,19
metalhead,male,21,21,6,37,29,20
metalhead,male,19,23,2,37,31,21
hipster,male,25,39,12,37,8,22
hipster,male,29,42,4,37,12,23
hipster,female,31,49,9,37,13,19
hippie,female,8,5,3,38,10,20
metalhead,female,15,10,2,38,15,21
metalhead,female,11,18,13,38,15,22
metalhead,male,22,19,5,38,26,23
metalhead,male,19,22,0,38,28,19
metalhead,male,17,23,0,38,18,20
hipster,female,25,36,5,38,15,21
hipster,male,26,39,3,38,15,22
hipster,female,26,40,8,38,13,23
hipster,male,30,42,8,38,17,24
hipster,female,20,42,10,38,14,19
hipster,male,26,45,9,38,15,20
metalhead,female,5,6,9,39,16,21
metalhead,female,11,12,7,39,14,22
metalhead,female,19,16,3,39,16,23
metalhead,male,18,17,8,39,28,24
metalhead,female,9,18,5,39,12,19
hipster,female,23,32,4,39,12,20
hipster,male,29,37,6,39,9,21
hipster,female,26,40,8,39,17,22
hipster,male,27,41,3,39,18,23
hipster,male,29,48,6,39,18,24
metalhead,female,8,11,5,40,17,19
metalhead,female,10,12,3,40,19,20
metalhead,female,21,12,8,40,17,21
metalhead,female,11,15,4,40,14,22
metalhead,female,17,17,17,40,15,23
metalhead,male,14,24,3,40,18,24
hipster,female,23,35,9,40,17,19
hipster,female,27,35,7,40,14,20
hipster,female,29,35,7,40,14,21
hipster,male,24,41,5,40,19,22
hipster,male,28,43,3,40,19,23
hipster,male,26,43,9,40,18,24
hipster,male,24,44,7,40,16,19
hipster,female,33,45,3,40,16,20
hipster,female,26,46,8,40,16,21
hipster,female,24,50,10,40,18,22
metalhead,male,17,15,1,41,28,23
metalhead,male,23,15,0,41,18,24
metalhead,male,30,16,1,41,23,19
metalhead,female,15,16,8,41,18,20
metalhead,male,21,18,4,41,29,21
metalhead,male,6,19,11,41,23,22
metalhead,male,13,19,2,41,18,23
metalhead,male,26,21,4,41,24,24
metalhead,male,19,21,9,41,20,20
metalhead,female,10,23,2,41,12,21
hipster,male,21,39,5,41,17,21
hipster,male,20,39,9,41,13,21
metalhead,male,26,22,13,42,23,21
hipster,male,27,39,2,42,15,21
hipster,female,23,41,10,42,14,21
hipster,female,27,43,6,42,15,21
hipster,male,29,49,4,42,11,21
metalhead,female,12,13,7,43,16,21
metalhead,male,14,14,6,43,30,21
metalhead,female,19,14,5,43,19,21
metalhead,female,12,14,3,43,15,21
metalhead,male,10,16,1,43,23,21
metalhead,male,12,18,10,43,31,21
metalhead,male,20,19,9,43,30,21
metalhead,male,22,21,12,43,32,21
metalhead,male,14,22,3,43,24,21
hipster,male,29,32,6,43,19,21
hipster,male,33,41,7,43,13,21
hipster,male,17,42,10,43,14,21
metalhead,female,18,7,8,44,12,21
metalhead,male,19,10,3,44,19,21
metalhead,male,17,18,1,44,22,21
hipster,female,27,35,3,44,15,21
hipster,female,28,38,2,44,15,21
metalhead,female,16,18,2,45,14,21
metalhead,male,16,19,4,45,28,21
hipster,female,21,48,14,45,19,21
metalhead,female,23,14,4,46,12,21
metalhead,male,18,20,2,46,20,19
metalhead,female,21,20,1,46,11,20
metalhead,male,15,27,7,46,16,21
hipster,female,24,39,7,46,13,22
hipster,male,32,44,7,46,19,23
hipster,female,26,44,13,46,15,24
hipster,female,18,45,10,46,13,19
hippie,female,7,3,8,47,9,20
metalhead,female,12,12,5,47,15,21
metalhead,female,10,13,2,47,13,22
metalhead,female,12,15,7,47,12,23
metalhead,male,15,17,0,47,24,24
metalhead,male,14,18,3,47,25,22
metalhead,male,18,18,3,47,23,22
metalhead,female,7,19,6,47,14,22
hipster,male,25,39,4,47,16,22
hipster,female,18,41,7,47,14,22
hipster,female,25,45,6,47,15,22
metalhead,female,15,7,2,48,17,22
metalhead,male,20,12,1,48,20,22
metalhead,male,8,20,3,48,25,22
metalhead,male,21,21,16,48,21,22
metalhead,male,18,11,6,49,22,22
metalhead,male,19,14,8,49,11,22
hipster,female,28,45,5,49,14,22
metalhead,female,8,1,2,50,15,22
metalhead,female,20,16,9,50,14,19
metalhead,female,11,20,4,50,12,20
hipster,female,27,34,8,50,17,21
hipster,male,33,35,7,51,12,22
hipster,male,29,44,7,51,19,23
metalhead,male,19,13,2,53,24,24
metalhead,male,14,17,7,53,27,19
metalhead,male,14,20,7,53,13,20
hipster,male,27,42,9,53,14,21
hipster,female,33,43,16,53,13,22
metalhead,male,23,12,6,54,22,23
metalhead,female,14,14,8,54,19,24
metalhead,female,9,14,3,54,17,23
metalhead,male,19,20,14,54,22,23
metalhead,male,20,16,3,55,20,23
metalhead,male,22,22,4,55,30,23
hipster,female,23,36,4,55,20,23
hipster,male,22,44,8,55,14,23
metalhead,female,15,13,4,56,18,23
metalhead,female,6,14,2,56,16,23
metalhead,male,19,18,0,56,23,23
metalhead,male,18,19,4,56,29,23
hipster,male,20,42,9,57,14,23
metalhead,male,24,13,8,58,26,23
metalhead,female,11,14,9,58,15,23
metalhead,male,20,15,4,58,22,23
metalhead,male,17,19,4,58,24,23
